Data;Nome do evento;Local;Tipo de evento;Tipo de testagem;Tipo de Intervenção;Tamanho estimado (faixa);Tamanho estimado (numero inteiro);no. de pessoas que pegaram o contato (publico de interesse);12/31/2021;nº de pessoas de deram o contatos (público de interesse)
07/05/2020;Vivência Trans e Travesti na quarentena 01 com Audre e Ika;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;1120;275;Não consta no insta;
07/09/2020;Bissexualidade;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;1127;406;194;1
07/12/2020;Pessoas Trans no Mercado de Trabalho;Spotify;Podcast;Não foi ofertada testagem;Coletiva;;1;3;12;
07/17/2020;Vivência Trans e Travesti na quarentena 02 com Audre;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;1142;280;667;
07/30/2020;Vivência Trans 03 ;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;1196;92;322;
07/30/2020;Anúncio da Live com Lucy;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;1192;44;44;
07/31/2020;Live Sobre Amanda Selfie com Lucy e Ika;Instagram;Live;Não foi ofertada testagem;Coletiva;;8382;25;Não consta no insta;0
07/31/2020;Fervo 1519 com participantes com Maia, Ika e Audre;Zoom ;Zoom ;Não foi ofertada testagem;Coletiva;;4;1;;
08/13/2020;Live com Alina Durso e Audre;Instagram;Live;Não foi ofertada testagem;Coletiva;;22465;;82;
08/21/2020;Vídeo Pílula sobre esportes com Moira;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;1279;62;78;
08/28/2020;Live sobre a visibilidade Lésbica - Aude e Natali  ;Instagram;Live;Não foi ofertada testagem;Coletiva;;1284;;Não consta no insta;
08/28/2020;Vídeo Pílula - Repost visibilidade lésbica;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;1284;428;316;
08/30/2020;Outras visões sobre sexo com Audre;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;1281;410;640;
09/04/2020;Apresentação Cultural sobre ballroom;Facebook;Live;Não foi ofertada testagem;Coletiva;;9915;318;1100;
09/04/2020;Cultura Ballroom e prevenção às ISTs;Facebook;Live;Não foi ofertada testagem;Coletiva;;9915;219;230;
09/08/2020;Sexo e Covid;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;1284;1014;949;2
09/11/2020;Saúde Mental;Facebook;Live;Não foi ofertada testagem;Coletiva;;9915;233;371;
09/19/2020;Apresentação Cultural ;Facebook;Live;Não foi ofertada testagem;Coletiva;;9915;;Não consta no FB;
09/19/2020;Gerações Trans;Facebook;Live;Não foi ofertada testagem;Coletiva;;9915;327;Não consta no FB;
09/25/2020;Apresentação Cultural ;Facebook;Live;Não foi ofertada testagem;Coletiva;;9915;;711;1
09/25/2020;Produção Cultural na Quebrada;Facebook;Live;Não foi ofertada testagem;Coletiva;;9915;250;Não consta no FB;
10/22/2020;Vídeo Pílula - Chuca;Instagram;Vídeo Pílula;kit de prevenção;Coletiva;;1066;129;2745;
10/30/2020;Pessoas Intersexo;Instagram;Live;Não foi ofertada testagem;Coletiva;;173916;;462;
11/13/2020;Reels Camisinha e Lubrificante;Instagram;Vídeo Pílula;Kit de Prevenção;Coletiva;;11451;303;12037;
11/13/2020;Visibilidade Trans na perifereia e Empregabilidade;Facebook ;Live;kit de prevenção;Coletiva;;8957;136;Não consta no FB;0
11/13/2020;Lubrificante e Camisinha;Instagram;;;;;;;12037;
11/14/2020;Gouinage X Penetração;Instagram;IGTV;Kit de Prevenção;Coletiva;;1055;;1448;0
