Data;Perfil;Início;Término;Total (em horas);Região;Bairro;Contatos receptivos;Nº de respostas aos contatos receptivos;Contatos ativos;Nº de pessoas que responderam ao contato ativo;Nº total de pessoas que responderam ao contato ativo e receptivo;Nº total de pessoas que interagiram;Nº total de HSH/ Trans & 15-19 identificadas;Nº de agendados;Observação;Visto Coordenação;Falhas identificadas
12/03/2020;Instagram;01:00:00 PM;05:00:00 PM;04:00:00 AM;GSP;;;;;;0;;;;;;
12/04/2020;Instagram;09:00:00 AM;01:00:00 PM;04:00:00 AM;GSP;;3;3;0;0;3;4;1;0;;;
12/07/2020;Instagram;03:30:00 PM;05:30:00 PM;02:00:00 AM;GSP;;0;0;0;0;0;1;0;0;;;
12/10/2020;Instagram;01:00:00 PM;04:00:00 PM;03:00:00 AM;GSP;;7;7;0;0;7;8;1;1;Post patrocinado sobre PrEP e Story sobre Kit. ;;
12/11/2020;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;7;0;0;0;0;2;0;0;;;
12/14/2020;Instagram;10:00:00 AM;01:30:00 PM;03:30:00 AM;GSP;;0;0;0;0;0;5;1;1;;;
12/16/2020;Instagram;01:00:00 PM;03:00:00 PM;02:00:00 AM;;;;;;;0;;;;;;
12/17/20200;Instagram;12:30:00 PM;03:00:00 PM;02:30:00 AM;GSP;;0;0;0;0;0;3;0;0;Reagendamento de Nicolas. ;;
12/18/2020;Instagram;12:00:00 PM;06:00:00 PM;06:00:00 AM;GSP;;2;2;3;0;2;2;0;0;"Criação e edição do vídeo ""https://youtu.be/p58cFzkkPOY""";;
12/21/2020;Instagram;03:30:00 PM;05:30:00 PM;02:00:00 AM;;;1;1;0;0;1;1;0;0;;;
12/22/2020;Instagram;01:00:00 PM;03:00:00 PM;02:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
12/23/2020;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;1;1;0;0;1;1;0;0;;;
12/28/2020;Instagram;03:30:00 PM;05:30:00 PM;02:00:00 AM;GSP;;2;2;4;0;2;4;4;1;Iniciado contato ativo;;
12/29/2020;Instagram;03:30:00 PM;07:30:00 PM;04:00:00 AM;GSP;;0;0;0;1;1;1;0;0;;;
01/04/2021;Instagram;04:00:00 PM;05:30:00 PM;01:30:00 AM;;;;;;;0;;;;;;
