ATIVIDADE;CATEGORIA;SUBCATEGORIA;DATA;ANO;VALOR;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS;;;COMENTÁRIOS;RECURSO;DESPESA
Palestrante;Personnel;LGBTQIA + artists and speakers;19/11/2019 a 03/12/2019;2019;600;100;100;100;100;100;100;;;Todas;;
Auxiliar de produção;Personnel;Content production;02/06/2019 a 02/06/2019;2019;600;0;0;0;600;0;0;;;sociab;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
Auxiliar de produção;Personnel;Content production;03/06/2019 a 07/06/2019;2019;600;0;0;0;600;0;0;;;sociab;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
Produção ;Personnel;Content production;03/06/2019 a 21/06/2019;2019;600;600;0;0;0;0;0;;;amanda;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
Palestrante;Personnel;LGBTQIA + artists and speakers;24/11/2020 a 24/11/2020;2020;264;44;44;44;44;44;44;;;Todas;;
Designer gráfico;Personnel;Graphic designer;24/05/2019 a 14/06/2019;2019;2150;358.333333333333;358.333333333333;358.333333333333;358.333333333333;358.333333333333;358.333333333333;;;todas;Amanda Selfie;Festa de lançamento (Pajubá, bottons, alpha grafics, autonomos pagos para palestra, roupa da Amanda e performance Amanda, bolsa Lucas Raniel assessor de impressa)
Assistente de produção;Personnel;Content production;10/05/2019 a 18/05/2019;2019;900;0;0;0;900;0;0;;;sociab;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
Agente jovem de prevenção;Personnel;Prevention agent;19/04/2019 a 18/05/2019;2019;600;0;0;0;600;0;0;;;sociab;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
Palestrante;Personnel;LGBTQIA + artists and speakers;18/12/2018 a 18/12/2018;2019;509.08;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;;;todas;;
Cabeamento;Personnel;Technical support;01/02/2019 a 15/02/2019;2019;1015;0;0;0;0;0;1015;;;Demanda espontânea;;
Palestrante;Personnel;LGBTQIA + artists and speakers;11/01/2019 a 11/01/2019;2019;509.08;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;84.8466666666667;;;todas;;
Palestrante;Personnel;LGBTQIA + artists and speakers;13/10/2020 a 13/10/2020;2020;264;44;44;44;44;44;44;;;todas;;
Palestrante;Personnel;LGBTQIA + artists and speakers;13/10/2020 a 13/10/2020;2020;264;44;44;44;44;44;44;;;todas;;
Palestrante;Personnel;LGBTQIA + artists and speakers;30/01/2021 a 30/01/2021;2021;250;250;0;0;0;0;0;;;Facebook;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Artistas contratados 
Agente jovem de rua;Personnel;Recruitment agent and peer-educators;07/04/2019 a 10/05/2019;2019;230;0;0;0;230;0;0;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
Agente de ação de rua;Personnel;Recruitment agent and peer-educators;07/04/2019 a 19/05/2019;2019;887.64;0;0;0;887.64;0;0;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
